Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
ENSGALG00000035360	14	13353454	13401167	1	XPO6
ENSGALG00000025191	2	22714642	22714734	-1	gga-mir-1650
ENSGALG00000034011	7	292975	334171	-1	PMS1
ENSGALG00000004192	10	7339296	7345988	1	SLTM
ENSGALG00000009476	2	22703461	22836675	-1	CDK6
ENSGALG00000014179	14	13338770	13350329	-1	SBK1
ENSGALG00000053073	3	39082821	39098599	-1	NTPCR
ENSGALG00000050875	33	7212689	7217376	1	ITGB7
ENSGALG00000001169	17	9279299	9313749	1	CRB2
ENSGALG00000052242	10	7323092	7324046	1	
ENSGALG00000032247	1	81030190	81054213	-1	ATP1A1
ENSGALG00000017923	3	38983550	38983712	1	U1
ENSGALG00000012223	7	30533313	30553147	-1	ZRANB3
ENSGALG00000035667	6	21058455	21075606	1	NOC3L
ENSGALG00000039458	7	252348	257840	1	GDF8
ENSGALG00000040006	1	126545073	126745367	-1	TBL1X
ENSGALG00000025643	6	21044801	21044898	1	5S_rRNA
ENSGALG00000011013	3	38929612	39078262	1	PCNX2
ENSGALG00000009475	2	22684301	22700755	-1	FAM133B
ENSGALG00000054624	7	30521761	30531032	-1	
ENSGALG00000033017	7	226649	230837	-1	C2orf88
ENSGALG00000004171	10	7273119	7315284	-1	RNF111
ENSGALG00000053574	14	13247622	13258608	1	
ENSGALG00000028961	6	21029050	21029159	1	gga-mir-6657
ENSGALG00000011870	5	54161509	54192262	-1	HIF1A
ENSGALG00000009473	2	22678104	22683834	-1	EFCAB1
ENSGALG00000014997	1	80955255	80972874	-1	PLA1A
ENSGALG00000015995	4	88545151	88643132	1	PTPRA
ENSGALG00000011008	3	38887936	38927053	-1	MAP3K21
ENSGALG00000034044	6	21022888	21057755	1	TBC1D12
ENSGALG00000000643	14	13235341	13245080	-1	ANKS3
ENSGALG00000016615	1	126518232	126531997	1	GPR143
ENSGALG00000011005	3	38762090	38790863	-1	KCNK1
ENSGALG00000009467	2	22674892	22680498	1	RBM48
ENSGALG00000011003	3	38567265	38616829	-1	SLC35F3
ENSGALG00000011868	5	54150986	54159510	-1	SNAPC1
ENSGALG00000050242	13	938739	940907	-1	
ENSGALG00000044463	13	946963	950066	-1	
ENSGALG00000005846	Z	30957164	31049251	-1	MPDZ
ENSGALG00000046411	3	104640895	104658791	-1	
ENSGALG00000012214	7	30501294	30520598	1	RAB3GAP1
ENSGALG00000030802	1	126382713	126504702	-1	SHROOM2
ENSGALG00000030590	3	38557631	38559258	-1	COA6
ENSGALG00000053713	5	54094823	54095836	1	
ENSGALG00000006540	6	21009127	21010503	-1	DD1CR
ENSGALG00000014988	1	80944283	80954049	1	POPDC2
ENSGALG00000047675	6	20886321	20886398	-1	gga-mir-7478
ENSGALG00000011861	5	54047342	54104268	-1	SYT16
ENSGALG00000009410	2	22648851	22674871	-1	PEX1
ENSGALG00000051204	1	19235246	19235300	-1	
ENSGALG00000028457	7	30490902	30497261	-1	
ENSGALG00000050703	13	911473	917347	-1	
ENSGALG00000031656	3	56480470	56633286	-1	EYA4
ENSGALG00000050756	6	20836334	20837848	1	
ENSGALG00000004161	10	7264609	7272826	-1	CCNB1
ENSGALG00000028895	14	13226354	13229728	1	
ENSGALG00000043307	7	187764	224770	1	HIBCH
ENSGALG00000012207	7	30476368	30482109	1	
ENSGALG00000011000	3	38524569	38557190	1	TARBP1
ENSGALG00000014981	1	80938546	80940510	1	COX17
ENSGALG00000040428	4	88534786	88542860	-1	MAVS
ENSGALG00000052903	6	20776576	20778514	-1	
ENSGALG00000053460	5	54028163	54028318	-1	
ENSGALG00000008551	1	19045087	19056483	1	CRELD2
ENSGALG00000052861	5	54009973	54011115	-1	
ENSGALG00000038799	6	20761634	20762959	-1	
ENSGALG00000014980	1	80915820	80927454	-1	
ENSGALG00000052326	3	38461706	38464567	1	IRF2BP2
ENSGALG00000049520	5	53980516	53982225	-1	
ENSGALG00000035761	2	22635251	22646949	-1	
ENSGALG00000054339	7	30464773	30490172	-1	
ENSGALG00000018328	4	88526012	88526094	-1	gga-mir-103-2
ENSGALG00000051586	5	53974662	53976203	1	
ENSGALG00000038330	2	344557	351751	1	ATG9B
ENSGALG00000001777	18	4223660	4240761	-1	MFSD11
ENSGALG00000025517	3	38288745	38288880	1	
ENSGALG00000034834	1	126239162	126334970	-1	WWC3
ENSGALG00000052666	5	53966812	53968353	1	
ENSGALG00000050404	1	80899778	80916366	-1	
ENSGALG00000030877	14	13166921	13222048	-1	CLUAP1
ENSGALG00000004150	10	7185220	7263560	1	MYO1E
ENSGALG00000035299	3	38288126	38295275	1	TOMM20
ENSGALG00000041884	7	151197	173251	-1	MFSD6
ENSGALG00000011858	5	53682353	53829994	1	KCNH5
ENSGALG00000015978	4	88524793	88533950	-1	PANK2
ENSGALG00000017304	1	195816616	195850848	-1	PGM2L1
ENSGALG00000043193	2	136617993	136673043	-1	TAF2
ENSGALG00000050281	13	887080	899460	-1	
ENSGALG00000028520	3	15683584	15685913	1	CST3
ENSGALG00000009399	2	22622554	22625627	1	GATAD1
ENSGALG00000048698	3	38283797	38287902	1	
ENSGALG00000004103	10	7166206	7175738	-1	FAM81A
ENSGALG00000027533	4	88515871	88524501	1	RNF24
ENSGALG00000029915	3	38280486	38284689	1	RBM34
ENSGALG00000016607	1	126199878	126236135	-1	CLCN4
ENSGALG00000031917	2	22533864	22614984	1	ANKIB1
ENSGALG00000040817	7	134720	148394	1	NEMP2
ENSGALG00000046969	7	30459000	30470470	1	
ENSGALG00000011855	5	53596072	53640888	-1	RHOJ
ENSGALG00000015977	4	88402221	88446642	-1	SMOX
ENSGALG00000034003	3	38194654	38276962	1	ARID4B
ENSGALG00000014614	6	20720818	20745934	1	TNKS2
ENSGALG00000008539	1	19029131	19044906	-1	ALG12
ENSGALG00000028839	5	53583814	53585417	1	GPHB5
ENSGALG00000038787	4	88341840	88377988	1	ADRA1D
ENSGALG00000037778	7	93419	111688	-1	NAB1
ENSGALG00000052355	12	9112296	9115747	1	PDE12
ENSGALG00000004096	10	7109509	7149541	-1	CHRNA7
ENSGALG00000014977	1	80750811	80886512	1	GSK3B
ENSGALG00000033278	14	13150266	13163527	1	NLRC3
ENSGALG00000038504	1	125930064	126095986	1	MID1
ENSGALG00000006670	6	20695689	20699934	-1	PPP1R3C
ENSGALG00000042853	3	38176341	38193355	-1	GGPS1
ENSGALG00000015967	4	87571874	87575381	1	LRRTM1
ENSGALG00000011840	5	53496627	53562481	1	PPP2R5E
ENSGALG00000040663	21	6780200	6799170	1	
ENSGALG00000042651	2	22512900	22533249	-1	KRIT1
ENSGALG00000012197	7	30420994	30458182	1	ACMSD
ENSGALG00000038043	6	20620876	20653897	1	HECTD2
ENSGALG00000052308	1	19026202	19026292	-1	
ENSGALG00000011827	5	53460628	53469499	1	WDR89
ENSGALG00000014973	1	80723913	80731661	1	GPR156
ENSGALG00000048461	2	22504529	22512502	-1	
ENSGALG00000032659	1	19001040	19019216	1	ZBED4
ENSGALG00000041183	5	53432324	53447350	1	SGPP1
ENSGALG00000029820	14	13144055	13148979	-1	NMRAL1
ENSGALG00000010073	21	6773167	6778804	1	DDOST
ENSGALG00000026996	1	80718109	80718218	1	gga-mir-6609
ENSGALG00000053176	10	6847068	6847117	-1	
ENSGALG00000016602	1	125571190	125724317	1	ARHGAP6
ENSGALG00000012190	7	30340176	30422024	-1	TMEM163
ENSGALG00000033186	1	80695646	80706829	1	LRRC58
ENSGALG00000027853	4	87427085	87823826	-1	CTNNA2
ENSGALG00000006502	6	20551751	20576052	1	PCGF5
ENSGALG00000037995	26	1318282	1330732	1	STRIP1
ENSGALG00000048333	13	852214	854382	-1	
ENSGALG00000008398	7	11518596	11537572	-1	MPP4
ENSGALG00000030652	1	195806601	195807686	1	
ENSGALG00000010446	8	22209428	22221917	-1	EFCAB14
ENSGALG00000038668	13	842607	844093	-1	PCDHB4
ENSGALG00000013598	2	89883629	89906746	-1	SCGN
ENSGALG00000006855	9	12619518	12636112	-1	MELTF
ENSGALG00000004087	10	6784258	7036593	1	THSD4
ENSGALG00000005601	12	9048747	9114490	-1	DNAH12
ENSGALG00000009365	2	22493952	22507735	-1	CYP51A1
ENSGALG00000014970	1	80650200	80694243	1	FSTL1
ENSGALG00000012187	7	30239783	30329855	1	MGAT5
ENSGALG00000007821	14	13131467	13143364	1	DNAJA3
ENSGALG00000027688	1	80601454	80605982	-1	NDUFB4
ENSGALG00000013950	3	38148652	38169225	-1	
ENSGALG00000014966	1	80581691	80599590	1	HGD
ENSGALG00000044997	21	6751642	6757547	1	SH2D5
ENSGALG00000006491	6	20474784	20483465	-1	ANKRD1
ENSGALG00000047356	14	13108126	13110213	1	VASN
ENSGALG00000005537	12	9038049	9047098	-1	ASB14
ENSGALG00000012177	7	29785117	30106820	-1	NCKAP5
ENSGALG00000052106	4	86221937	86222006	-1	
ENSGALG00000040549	6	20428998	20451074	-1	HTR7
ENSGALG00000014949	1	80556280	80569250	1	RABL3
ENSGALG00000029379	1	18927212	18992907	-1	BRD1
ENSGALG00000041433	1	125362428	125384741	-1	MSL3
ENSGALG00000005527	12	9007497	9031248	1	APPL1
ENSGALG00000015961	4	86200311	86215802	1	SUCLG1
ENSGALG00000013952	3	38124927	38149873	1	B3GALNT2
ENSGALG00000042320	1	80503134	80556121	-1	GTF2E1
ENSGALG00000050403	7	29767551	29783780	-1	LYPD1
ENSGALG00000051886	1	80382667	80382721	-1	
ENSGALG00000005506	12	8998425	9007651	-1	HESX1
ENSGALG00000012171	7	29705706	29769983	1	GPR39
ENSGALG00000010079	21	6729868	6749872	1	HP1BP3
ENSGALG00000033541	1	124929946	125232394	-1	FRMPD4
ENSGALG00000010986	3	38100145	38113286	1	GNG4
ENSGALG00000026324	21	6661287	6661455	1	
ENSGALG00000006486	6	20424248	20473425	1	RPP30
ENSGALG00000015960	4	86172874	86187864	1	RPIA
ENSGALG00000005499	12	8950452	8989422	-1	IL17RD
ENSGALG00000048222	1	17291998	17293170	-1	
ENSGALG00000012166	7	29649127	29673686	1	SLC35F5
ENSGALG00000016584	1	124845633	124876994	1	EGFL6
ENSGALG00000049341	6	20293733	20297014	-1	
ENSGALG00000039727	6	1251914	1267478	1	
ENSGALG00000011304	2	37862138	37881702	-1	NGLY1
ENSGALG00000032840	3	38081417	38095847	1	
ENSGALG00000023584	1	17209559	17632970	1	TAFA5
ENSGALG00000038325	14	13094421	13131792	-1	CORO7
ENSGALG00000015958	4	86128674	86168138	-1	EIF2AK3
ENSGALG00000026383	1	124544398	124546072	1	TMSB4X
ENSGALG00000011811	5	53231805	53388473	-1	SYNE2
ENSGALG00000035882	11	18880781	18908065	1	TANGO6
ENSGALG00000013600	4	62797493	62804740	1	
ENSGALG00000013594	2	89782356	89840622	-1	PARD6G
ENSGALG00000053430	13	829842	836321	-1	
ENSGALG00000050481	3	38068439	38074372	1	
ENSGALG00000015953	4	86120205	86127415	1	
ENSGALG00000005481	12	8830149	8941812	-1	ARHGEF3
ENSGALG00000037457	4	86075690	86078546	-1	
ENSGALG00000016590	1	124490191	124497611	1	TLR7
ENSGALG00000038416	6	20291235	20309081	1	
ENSGALG00000052402	1	17131263	17132486	-1	
ENSGALG00000048321	3	38036754	38052061	1	
ENSGALG00000012159	7	29611431	29637868	-1	ACTR3
ENSGALG00000050263	1	17020707	17020760	1	
ENSGALG00000015939	4	85994262	86001997	1	THNSL2
ENSGALG00000042079	3	37941890	37973181	1	NID1
ENSGALG00000034232	6	20279683	20287917	1	
ENSGALG00000015937	4	85982308	85986038	-1	FABP1
ENSGALG00000034737	14	13089512	13093771	1	
ENSGALG00000016592	1	124459466	124485720	1	PRPS2
ENSGALG00000050687	6	20274138	20277169	1	
ENSGALG00000010843	3	37893859	37919523	-1	GPR137B
ENSGALG00000027823	14	13079902	13085810	-1	TFAP4
ENSGALG00000018330	6	20232372	20232453	-1	gga-mir-107
ENSGALG00000011801	5	53184725	53226447	1	ESR2
ENSGALG00000040724	2	22394327	22493500	1	AKAP9
ENSGALG00000010084	21	6638309	6718151	1	EIF4G3
ENSGALG00000006431	6	20227632	20253500	-1	PANK1
ENSGALG00000043058	1	16325266	16480222	1	TBC1D22A
ENSGALG00000015935	4	85957982	85980747	1	SMYD1
ENSGALG00000016581	1	124357476	124367398	-1	TCEANC
ENSGALG00000006421	6	20194880	20203208	-1	SLC16A12
ENSGALG00000035045	12	8795166	8824160	-1	TASOR
ENSGALG00000032361	1	80274239	80460066	-1	STXBP5L
ENSGALG00000012156	7	29190336	29372124	-1	DPP10
ENSGALG00000040000	3	37863579	37889231	1	ERO1B
ENSGALG00000038884	14	13059180	13078199	-1	SRL
ENSGALG00000045085	6	20187816	20191669	1	IFIT5
ENSGALG00000016579	1	124344548	124352711	-1	RAB9A
ENSGALG00000019397	1	16257553	16300910	-1	CERK
ENSGALG00000031763	3	37838822	37857318	-1	EDARADD
ENSGALG00000006378	6	20166929	20179294	-1	LIPA
ENSGALG00000008445	3	4055975	4107356	1	SLC24A3
ENSGALG00000046009	4	85942578	85954181	-1	
ENSGALG00000012147	7	28923545	28931240	-1	DDX18
ENSGALG00000006352	6	20161234	20165780	-1	CH25H
ENSGALG00000011797	5	53109028	53146645	-1	MTHFD1
ENSGALG00000004059	10	6707025	6745503	1	LRRC49
ENSGALG00000048109	1	16231465	16234869	1	
ENSGALG00000007779	14	12988577	13047466	-1	ADCY9
ENSGALG00000006351	6	20087175	20099497	1	FAS
ENSGALG00000016578	1	124337730	124348310	1	TRAPPC2
ENSGALG00000011721	5	53102807	53104597	-1	
ENSGALG00000031343	21	6611137	6620377	1	ECE1
ENSGALG00000034274	1	16089628	16136090	1	GRAMD4
ENSGALG00000005450	12	8777157	8793042	1	CCDC66
ENSGALG00000008429	3	3921732	3934633	1	CRNKL1
ENSGALG00000027090	4	85928419	85937631	1	
ENSGALG00000028942	5	53091329	53095078	1	ZBTB25
ENSGALG00000023542	21	6603424	6609227	-1	ALPL
ENSGALG00000049282	3	3919533	3921707	-1	
ENSGALG00000054287	1	16048896	16049276	-1	
ENSGALG00000015902	4	85919110	85924985	-1	CD8BP
ENSGALG00000025595	Z	61442260	61442322	-1	
ENSGALG00000012129	7	28878074	28910403	1	CCDC93
ENSGALG00000011718	5	53066586	53089159	-1	ZBTB1
ENSGALG00000016576	1	124308474	124337655	-1	OFD1
ENSGALG00000008416	3	3841238	3871039	-1	
ENSGALG00000009064	2	22134540	22136747	1	FZD1
ENSGALG00000027728	Z	61441242	61441303	-1	
ENSGALG00000051133	4	85914999	85917683	-1	
ENSGALG00000051823	13	806672	808138	-1	
ENSGALG00000029024	3	56360381	56362566	-1	TCF21
ENSGALG00000009466	6	31321086	31337575	1	SEC23IP
ENSGALG00000010444	8	22198145	22206503	-1	ATPAF1
ENSGALG00000048241	3	3828889	3830091	-1	
ENSGALG00000026294	9	12617353	12619381	-1	
ENSGALG00000001740	18	4171183	4209840	-1	MGAT5B
ENSGALG00000016861	1	144209956	144226593	-1	BIVM
ENSGALG00000008667	3	15647437	15658771	-1	DSTN
ENSGALG00000046772	13	794514	800992	-1	
ENSGALG00000009491	5	28602721	28945763	-1	RAD51B
ENSGALG00000013591	2	89775663	89781385	-1	BLOC1S4
ENSGALG00000048480	13	776646	783320	-1	
ENSGALG00000043674	18	4130668	4130777	-1	gga-mir-6516
ENSGALG00000025590	18	4130687	4130856	-1	SCARNA16
ENSGALG00000031243	2	337915	344446	-1	ABCB8
ENSGALG00000052702	9	12614245	12614532	1	
ENSGALG00000016860	1	144193574	144208754	-1	ERCC5
ENSGALG00000027963	Z	61440581	61443244	-1	COX7C
ENSGALG00000005419	12	8386407	8740271	-1	ERC2
ENSGALG00000038918	4	85905885	85907049	-1	
ENSGALG00000025266	3	3796289	3796390	1	gga-mir-1740
ENSGALG00000011715	5	53057972	53060373	-1	HSPA2
ENSGALG00000047781	15	6242793	6250178	1	RAD9B
ENSGALG00000041524	2	333108	334327	-1	
ENSGALG00000032964	3	3773453	3787531	1	
ENSGALG00000048617	4	85878480	85883749	-1	
ENSGALG00000040026	5	53031545	53041637	-1	
ENSGALG00000053105	21	6596041	6600999	1	
ENSGALG00000034168	12	8303804	8315223	-1	WNT5A
ENSGALG00000017706	Z	61215512	61276354	-1	
ENSGALG00000028260	5	53014741	53014808	-1	
ENSGALG00000004046	10	6698487	6705074	-1	LARP6
ENSGALG00000028046	7	28833298	28841367	-1	INSIG2
ENSGALG00000050528	4	85876537	85890994	-1	
ENSGALG00000033813	5	52935364	52938063	1	BTBD6
ENSGALG00000005404	12	8060985	8064571	-1	LRTM1
ENSGALG00000009062	2	21788601	22097425	1	CDK14
ENSGALG00000014371	3	37820739	37836628	-1	LGALS8
ENSGALG00000042389	7	28518095	28521131	1	EN1
ENSGALG00000044730	3	3709661	3744664	1	
ENSGALG00000048382	4	85857613	85872415	-1	
ENSGALG00000015641	Z	61202799	61212577	1	CCNH
ENSGALG00000043355	1	15869289	16025693	-1	
ENSGALG00000011705	5	52854754	53013815	-1	BRF1
ENSGALG00000006343	6	20062668	20118932	-1	ACTA2
ENSGALG00000007762	14	12891875	12969501	-1	CREBBP
ENSGALG00000047935	Z	61189474	61189551	-1	gga-mir-7479-1
ENSGALG00000052285	4	85828727	85833484	-1	
ENSGALG00000054879	Z	61183725	61183802	-1	gga-mir-7479-1
ENSGALG00000053992	Z	61175986	61176063	-1	gga-mir-7479-1
ENSGALG00000014924	1	80209348	80265753	1	POLQ
ENSGALG00000048858	4	85815378	85819475	-1	
ENSGALG00000052289	Z	61119665	61119742	-1	gga-mir-7479-2
ENSGALG00000047382	Z	61113348	61113425	-1	gga-mir-7479-3
ENSGALG00000043996	4	85812465	85813831	-1	
ENSGALG00000031922	1	15848575	15860199	1	TRMU
ENSGALG00000004038	10	6684696	6695463	1	ADAL
ENSGALG00000009044	2	21749428	21771950	1	
ENSGALG00000048427	Z	61106987	61107064	-1	gga-mir-7479-3
ENSGALG00000028940	5	52393790	52445216	-1	NUDT14
ENSGALG00000047967	4	85802999	85852655	-1	
ENSGALG00000030857	21	6569722	6593773	1	USP48
ENSGALG00000012119	7	28482051	28491954	-1	MARCO
ENSGALG00000048113	Z	61100661	61100738	-1	gga-mir-7479-1
ENSGALG00000016575	1	124201020	124307978	1	GPM6B
ENSGALG00000051572	Z	61094344	61094421	-1	gga-mir-7479-1
ENSGALG00000054178	2	21731911	21738947	1	CLDN12
ENSGALG00000052802	Z	61087975	61088052	-1	gga-mir-7479-1
ENSGALG00000053568	4	85792693	85796790	-1	
ENSGALG00000016859	1	144171934	144190015	-1	
ENSGALG00000052429	13	715340	723544	-1	
ENSGALG00000005400	12	7720781	8130930	1	CACNA2D3
ENSGALG00000050816	Z	61081658	61081735	-1	gga-mir-7479-1
ENSGALG00000053737	Z	61075342	61075419	-1	gga-mir-7479-3
ENSGALG00000014901	1	80198363	80208691	1	METTL16
ENSGALG00000044218	4	85782368	85784188	-1	
ENSGALG00000052310	Z	61069029	61069106	-1	gga-mir-7479-3
ENSGALG00000008386	3	3599016	3639744	-1	KIZ
ENSGALG00000052228	Z	61066978	61067055	-1	gga-mir-7479-1
ENSGALG00000040992	7	28438645	28440603	1	C1QL2
ENSGALG00000011696	5	52301377	52360978	-1	JAG2
ENSGALG00000053760	Z	61060617	61060694	-1	gga-mir-7479-1
ENSGALG00000026271	10	6680735	6685539	1	TM2D3
ENSGALG00000053811	Z	61058685	61058762	-1	gga-mir-7479-1
ENSGALG00000032799	3	37816238	37820310	1	
ENSGALG00000051050	4	85759892	85807858	-1	CD8A
ENSGALG00000051511	Z	61055444	61055521	-1	gga-mir-7479-1
ENSGALG00000009035	2	21718731	21731532	1	GTPBP10
ENSGALG00000053113	Z	61050689	61050766	-1	gga-mir-7479-2
ENSGALG00000039951	14	12871040	12889227	-1	TRAP1
ENSGALG00000051378	3	37786577	37788792	1	
ENSGALG00000047948	Z	61047579	61047656	-1	gga-mir-7479-3
ENSGALG00000027407	5	52154934	52170189	-1	
ENSGALG00000005391	12	7642056	7646168	-1	SELENOK
ENSGALG00000047372	4	85745342	85878554	-1	
ENSGALG00000050147	Z	61042522	61042599	-1	gga-mir-7479-3
ENSGALG00000003985	10	6664537	6680129	1	TARSL2
ENSGALG00000047750	Z	61041393	61041470	-1	gga-mir-7479-1
ENSGALG00000052881	13	709353	711527	-1	
ENSGALG00000051417	2	331550	333087	-1	
ENSGALG00000013981	3	56337729	56344309	-1	TBPL1
ENSGALG00000009147	25	2407633	2418982	1	NCSTN
ENSGALG00000048920	1	144127757	144129229	-1	
ENSGALG00000051362	13	690947	692083	-1	
ENSGALG00000050787	13	622226	630645	1	PORCN
ENSGALG00000003717	28	4263083	4303548	-1	MYO9B
ENSGALG00000006331	6	20042684	20062218	1	STAMBPL1
ENSGALG00000052878	Z	61039495	61039572	-1	gga-mir-7479-1
ENSGALG00000015900	4	85741367	85743715	-1	CD8A
ENSGALG00000054387	1	124185843	124187111	-1	
ENSGALG00000048254	Z	61037123	61037181	-1	
ENSGALG00000032592	2	21707589	21709626	-1	FAM237B
ENSGALG00000012117	7	28404445	28422283	-1	STEAP3
ENSGALG00000011692	5	52134885	52142967	-1	CDCA4
ENSGALG00000049139	Z	61035526	61035603	-1	gga-mir-7479-1
ENSGALG00000008372	3	3546571	3591719	-1	XRN2
ENSGALG00000050599	Z	61031854	61031931	-1	gga-mir-7479-1
ENSGALG00000031841	14	12836114	12860420	-1	SLX4
ENSGALG00000039228	5	28553320	28555369	1	ZFP36L1
ENSGALG00000028821	2	89742579	89767957	-1	GLIPR2
ENSGALG00000051479	2	328651	332784	1	CDK5
ENSGALG00000013980	3	56302892	56331660	1	SLC2A12
ENSGALG00000041512	6	1237323	1244618	-1	
ENSGALG00000041463	22	3047217	3056376	-1	
ENSGALG00000025314	5	28533211	28533299	1	gga-mir-1617
ENSGALG00000009934	1	35367839	35393184	1	NUP107
ENSGALG00000025946	8	22179851	22194222	-1	MOB3C
ENSGALG00000005385	12	7633818	7641257	-1	ACTR8
ENSGALG00000006302	6	20032197	20039312	1	
ENSGALG00000047354	Z	61030223	61030300	-1	gga-mir-7479-3
ENSGALG00000047131	Z	61021326	61021403	-1	gga-mir-7479-3
ENSGALG00000016574	1	124157206	124192838	1	GEMIN8
ENSGALG00000009026	2	21682611	21706828	1	CFAP69
ENSGALG00000053035	14	12828516	12831315	-1	
ENSGALG00000039461	1	80183729	80196654	1	TNFRSF1A
ENSGALG00000054045	Z	61018885	61018962	-1	gga-mir-7479-1
ENSGALG00000045876	4	85740196	85784683	-1	
ENSGALG00000028250	6	20008951	20032260	-1	ANKRD22
ENSGALG00000009017	2	21667322	21673630	1	STEAP2
ENSGALG00000010896	Z	60803931	60830335	1	TMEM161B
ENSGALG00000011690	5	52105547	52113558	1	CLBA1
ENSGALG00000004897	1	15836984	15848465	1	GTSE1
ENSGALG00000007638	14	12818819	12827110	-1	HMOX2
ENSGALG00000005363	12	7618908	7631523	-1	CHDH
ENSGALG00000035835	3	3543643	3544746	1	NKX2-4
ENSGALG00000050177	1	124121407	124122032	-1	
ENSGALG00000009006	2	21641463	21650943	1	
ENSGALG00000018346	Z	60673629	60673715	1	gga-mir-9-2
ENSGALG00000053478	13	619657	632067	-1	CDK20
ENSGALG00000048417	6	1216875	1216952	-1	gga-mir-7478
ENSGALG00000041454	3	104568030	104584279	-1	DNMT3A
ENSGALG00000027501	10	20435393	20443467	-1	ANPEP
ENSGALG00000016858	1	144099552	144110941	1	SLC10A2
ENSGALG00000036711	25	2386866	2388673	1	S100A11
ENSGALG00000047268	6	1104036	1104113	1	gga-mir-7478
ENSGALG00000042552	10	6475758	6544834	-1	TJP1
ENSGALG00000036869	3	3523328	3524365	1	NKX2-2
ENSGALG00000046746	6	1086507	1086584	-1	gga-mir-7478
ENSGALG00000008275	10	20433602	20434880	1	
ENSGALG00000036502	14	12807823	12817482	1	CDIP1
ENSGALG00000028860	2	21355282	21355462	1	
ENSGALG00000009004	2	21172333	21382361	1	ZNF804B
ENSGALG00000023824	6	19996152	20008824	1	
ENSGALG00000011687	5	52000607	52016763	-1	
ENSGALG00000052476	4	85722927	85813859	-1	
ENSGALG00000016571	1	123760153	123886114	-1	GLRA2
ENSGALG00000039040	3	3491748	3495862	-1	PAX1
ENSGALG00000014463	3	37710303	37774495	-1	ACTN2
ENSGALG00000012113	7	28385668	28397361	1	C7H2ORF76
ENSGALG00000026808	6	19964195	19969503	1	TMEM72
ENSGALG00000030889	3	3366094	3369593	1	FOXA2
ENSGALG00000052490	3	3343995	3344051	1	
ENSGALG00000008997	2	21007327	21026905	-1	STEAP4
ENSGALG00000016569	1	123713870	123728313	1	FANCB
ENSGALG00000035115	14	12803269	12809414	-1	
ENSGALG00000013018	1	15825374	15829351	1	TPRKB
ENSGALG00000008362	3	3340865	3343007	-1	SSTR4
ENSGALG00000041346	6	19850341	19864037	-1	CXCL12
ENSGALG00000003944	10	6348118	6409092	-1	FAM189A1
ENSGALG00000012112	7	28381630	28385331	-1	DBI
ENSGALG00000008359	3	3329006	3331372	1	CD248
ENSGALG00000032036	1	80165233	80181262	-1	
ENSGALG00000014645	Z	60517700	60640680	1	MEF2C
ENSGALG00000011646	5	51984130	51996689	1	PLD4
ENSGALG00000040272	1	15818747	15825318	-1	ALG10
ENSGALG00000012111	7	28370913	28374010	-1	TMEM37
ENSGALG00000053659	3	3292590	3299822	-1	
ENSGALG00000007619	14	12796696	12802141	1	UBALD1
ENSGALG00000048572	4	85722927	85900720	-1	
ENSGALG00000053640	3	3283126	3292415	-1	GZF1
ENSGALG00000014820	1	80157630	80163043	1	VTCN1
ENSGALG00000016568	1	123679401	123713845	-1	MOSPD2
ENSGALG00000053021	5	51967656	51967704	-1	
ENSGALG00000006254	6	19565955	19609491	-1	ERCC6
ENSGALG00000013573	2	89697618	89699292	1	ALG2
ENSGALG00000001684	18	4078960	4116794	-1	SEC14L1
ENSGALG00000026364	4	62776696	62791934	1	ASAH1
ENSGALG00000013575	2	89717661	89722211	1	IFI6
ENSGALG00000043660	25	2370430	2376417	1	
ENSGALG00000012106	7	28353282	28366950	1	SCTR
ENSGALG00000014818	1	80132983	80149686	1	TRIM45
ENSGALG00000008985	2	20983100	20992378	-1	SRI
ENSGALG00000008313	3	3276268	3283076	1	NAPB
ENSGALG00000014648	Z	59940610	59957212	1	CETN3
ENSGALG00000007025	1	15633800	15729892	1	CPNE8
ENSGALG00000052278	1	80116058	80116139	1	
ENSGALG00000049892	1	80114614	80114695	1	
ENSGALG00000006239	6	19551920	19556673	-1	
ENSGALG00000050620	1	80111479	80111560	1	
ENSGALG00000016563	1	123496180	123509692	1	ASB9
ENSGALG00000011639	5	51944497	51977507	1	
ENSGALG00000003930	10	6257701	6346419	1	APBA2
ENSGALG00000052660	1	80108019	80108100	-1	
ENSGALG00000008269	3	3236158	3265532	1	ZC3H8
ENSGALG00000014649	Z	59920983	59929566	1	MBLAC2
ENSGALG00000014650	Z	59912198	59914465	-1	
ENSGALG00000037492	14	12746596	12794827	-1	MGRN1
ENSGALG00000012100	7	28330072	28344049	-1	CFAP221
ENSGALG00000046358	3	3223813	3229644	1	FBLN7
ENSGALG00000045606	1	80098303	80129957	1	
ENSGALG00000026467	10	20429099	20430583	-1	MESP1
ENSGALG00000006834	9	12583262	12599587	1	CPB1
ENSGALG00000041028	3	104550333	104557734	-1	DPYSL5
ENSGALG00000043971	13	613317	618879	-1	
ENSGALG00000049807	1	143125846	143128275	1	
ENSGALG00000014651	Z	59892416	59896505	1	LYSMD3
ENSGALG00000043872	1	15584706	15614988	1	
ENSGALG00000041565	5	51927665	51942266	1	
ENSGALG00000043848	4	85720933	85726738	-1	
ENSGALG00000003913	10	6245695	6255517	1	MCEE
