Chicken_geneSymbol		Chicken_chromosome	Gene start (bp)	Gene end (bp)	Chicken_gene_name	Quail_geneSymbol	Quail_geneName	Quail_Chromosome	Japanese quail homology type	"Japanese quail orthology confidence [0 low, 1 high]"
ENSGALG00000033386		5	125372	126444		ENSCJPG00005013033		5	ortholog_one2one	1
ENSGALG00000004949		11	10895866	10936760	GARRE1	ENSCJPG00005014627	GARRE1	11	ortholog_one2one	1
ENSGALG00000017181		1	183673256	183686237	DCUN1D5	ENSCJPG00005003587	DCUN1D5	1	ortholog_one2one	1
ENSGALG00000016767		1	133973567	134294259	AFF3	ENSCJPG00005001212	AFF3	1	ortholog_one2one	1
ENSGALG00000008709		8	16765732	16781321	MCOLN3	ENSCJPG00005008324	MCOLN3	8	ortholog_one2one	1
ENSGALG00000001035		28	2283963	2295801		ENSCJPG00005010284		28	ortholog_one2one	1
ENSGALG00000001988		15	1292445	1327211	TXNRD2	ENSCJPG00005019064	TXNRD2	15	ortholog_one2one	1
ENSGALG00000006402		9	4855404	4859977	NRROS	ENSCJPG00005001359	NRROS	9	ortholog_one2one	1
ENSGALG00000015133		1	84316703	84317788	GPR15	ENSCJPG00005017439	GPR15	1	ortholog_one2one	1
ENSGALG00000036836		2	28399735	28403638	SOSTDC1	ENSCJPG00005011854	SOSTDC1	2	ortholog_one2one	1
ENSGALG00000014589		28	2309232	2317220		ENSCJPG00005010285		28	ortholog_one2one	1
ENSGALG00000025192		1	133979056	133979173		ENSCJPG00005001243		1	ortholog_one2one	1
ENSGALG00000012124		5	56146220	56210990	PELI2	ENSCJPG00005006186	PELI2	5	ortholog_one2one	1
ENSGALG00000037378		7	35627600	35628125	RPRM	ENSCJPG00005020506	RPRM	7	ortholog_one2one	1
ENSGALG00000003862		7	4706293	4793733	LRRFIP1	ENSCJPG00005014059	LRRFIP1	7	ortholog_one2one	1
ENSGALG00000033154		27	6151929	6153522	HOXB13	ENSCJPG00005019363	HOXB13	27	ortholog_one2one	1
ENSGALG00000015134		1	84330787	84333931	APOV1	ENSCJPG00005017441		1	ortholog_one2one	1
ENSGALG00000053490		9	4866971	4871302	FBXO45	ENSCJPG00005001364	FBXO45	9	ortholog_one2one	1
ENSGALG00000046915		KZ626836.1	61135	67803	PPP1R12C	ENSCJPG00005004977	PPP1R12C	KQ966720.1	ortholog_one2one	1
ENSGALG00000016768		1	134355045	134386116	LONRF2	ENSCJPG00005001247	LONRF2	1	ortholog_one2one	1
ENSGALG00000023083		Z	66163515	66184739		ENSCJPG00005001367	KIAA1958	Z	ortholog_one2one	1
ENSGALG00000006395		9	4871958	4876064	WDR53	ENSCJPG00005001369	WDR53	9	ortholog_one2one	1
ENSGALG00000033614		33	5630143	5641609	ATF1	ENSCJPG00005019745	ATF1	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000008074		4	13620556	13686385	AMMECR1	ENSCJPG00005017217	AMMECR1	4	ortholog_one2one	1
ENSGALG00000010804		2	28455013	28475977	ANKMY2	ENSCJPG00005011860	ANKMY2	2	ortholog_one2one	1
ENSGALG00000008941		1	22977640	22983971	FEZF1	ENSCJPG00005009701	FEZF1	1	ortholog_one2one	1
ENSGALG00000006676		10	13417443	13421763	RLBP1	ENSCJPG00005020385	RLBP1	10	ortholog_one2one	1
ENSGALG00000036990		2	124297207	124306416	DECR1	ENSCJPG00005000371	DECR1	2	ortholog_one2one	1
ENSGALG00000015663		Z	66228725	66241158	HSDL2	ENSCJPG00005001387	HSDL2	Z	ortholog_one2one	1
ENSGALG00000015136		1	84338733	84353225	ILDR1	ENSCJPG00005017442	ILDR1	1	ortholog_one2one	1
ENSGALG00000017927		3	92820929	92821053	U1	ENSCJPG00005008233	U1	3	ortholog_one2one	1
ENSGALG00000008076		4	13698638	13736813	TMEM164	ENSCJPG00005017218	TMEM164	4	ortholog_one2one	1
ENSGALG00000004956		11	10964811	10986960	GPI	ENSCJPG00005014628	GPI	11	ortholog_one2one	1
ENSGALG00000029203		KZ626836.1	67970	70668	TNNT1	ENSCJPG00005004974	TNNT1	KQ966720.1	ortholog_one2one	1
ENSGALG00000041163		28	2319159	2324421	ABHD17A	ENSCJPG00005010286	ABHD17A	28	ortholog_one2one	1
ENSGALG00000017183		1	183730975	183738566	MMP13	ENSCJPG00005003591	MMP13	1	ortholog_one2one	1
ENSGALG00000008086		6	24122168	24136313	ACTR1A	ENSCJPG00005019983	ACTR1A	6	ortholog_one2one	1
ENSGALG00000005999		12	10069635	10096797	ABTB1	ENSCJPG00005013960	ABTB1	12	ortholog_one2one	1
ENSGALG00000018313		27	6183421	6183515	gga-mir-196-1	ENSCJPG00005019364	MIR196A1	27	ortholog_one2one	1
ENSGALG00000016377		3	92904139	92977622	PXDN	ENSCJPG00005008255	PXDN	3	ortholog_one2one	1
ENSGALG00000053648		23	5340899	5342049	TSSK3	ENSCJPG00005000884	TSSK3	23	ortholog_one2one	1
ENSGALG00000006392		9	4879911	4889610	RNF168	ENSCJPG00005001374	RNF168	9	ortholog_one2one	1
ENSGALG00000001276		27	6190823	6194818	HOXB9	ENSCJPG00005019365	HOXB9	27	ortholog_one2one	1
ENSGALG00000041953		5	127773	160743	KDM2A	ENSCJPG00005013039	KDM2A	5	ortholog_one2one	1
ENSGALG00000008953		1	23009937	23038493	AASS	ENSCJPG00005009700	AASS	1	ortholog_one2one	1
ENSGALG00000042577		1	84357507	84390333	CFAP44	ENSCJPG00005017443	CFAP44	1	ortholog_one2one	1
ENSGALG00000003405		23	5342394	5348814	BSDC1	ENSCJPG00005000915	BSDC1	23	ortholog_one2one	1
ENSGALG00000026999		3	5652612	5661394	SNRPB2	ENSCJPG00005011807	SNRPB2	3	ortholog_one2one	1
ENSGALG00000040320		27	6203738	6205370	HOXB8	ENSCJPG00005019366	HOXB8	27	ortholog_one2one	1
ENSGALG00000016769		1	134408808	134422786	CHST10	ENSCJPG00005001255	CHST10	1	ortholog_one2one	1
ENSGALG00000008722		8	16782846	16802543	MCOLN2	ENSCJPG00005008325	MCOLN2	8	ortholog_one2one	1
ENSGALG00000034965		33	5645989	5704717	DIP2B	ENSCJPG00005019747	DIP2B	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000012710		17	6162996	6173508	NCS1	ENSCJPG00005000105	NCS1	17	ortholog_one2one	1
ENSGALG00000012536		7	35658764	35725602	GALNT13	ENSCJPG00005020504	GALNT13	7	ortholog_one2one	1
ENSGALG00000011962		4	54187801	54205828	NDNF	ENSCJPG00005003647	NDNF	4	ortholog_one2one	1
ENSGALG00000004799		19	7068712	7073816		ENSCJPG00005016492		19	ortholog_one2one	1
ENSGALG00000001043		28	2328523	2359784	REXO1	ENSCJPG00005010287	REXO1	28	ortholog_one2one	1
ENSGALG00000015669		Z	66269978	66319837	PTBP3	ENSCJPG00005001574	PTBP3	Z	ortholog_one2one	1
ENSGALG00000032740		27	6207771	6211830	HOXB7	ENSCJPG00005019367	HOXB7	27	ortholog_one2one	1
ENSGALG00000012137		5	56284033	56354355	KTN1	ENSCJPG00005006192	KTN1	5	ortholog_one2one	1
ENSGALG00000002200		14	15208575	15219030	ACSM3	ENSCJPG00005018771	ACSM3	14	ortholog_one2one	1
ENSGALG00000016384		3	92994427	93120877	MYT1L	ENSCJPG00005008311	MYT1L	3	ortholog_one2one	1
ENSGALG00000053583		KZ626836.1	73511	76566	KMT5C	ENSCJPG00005004969	KMT5C	KQ966720.1	ortholog_one2one	1
ENSGALG00000008732		3	5661982	5666978	CTAGE1	ENSCJPG00005011805	OTOR	3	ortholog_one2one	1
ENSGALG00000008088		4	13761450	13795773	ACSL4	ENSCJPG00005017219	ACSL4	4	ortholog_one2one	1
ENSGALG00000002024		15	1326281	1366341	COMT	ENSCJPG00005019104	COMT	15	ortholog_one2one	1
ENSGALG00000037619		27	6221058	6223348	HOXB6	ENSCJPG00005019368	HOXB6	27	ortholog_one2one	1
ENSGALG00000010809		2	28476110	28534287	BZW2	ENSCJPG00005011870	BZW2	2	ortholog_one2one	1
ENSGALG00000040114		1	23044093	23176470	PTPRZ1	ENSCJPG00005008728	PTPRZ1	1	ortholog_one2one	1
ENSGALG00000011963		4	54227745	54309687	PRDM5	ENSCJPG00005003653	PRDM5	4	ortholog_one2one	1
ENSGALG00000004817		19	7073888	7081023	GLOD4	ENSCJPG00005016495	GEMIN4	19	ortholog_one2one	1
ENSGALG00000006385		9	4891411	4917621	UBXN7	ENSCJPG00005001388	UBXN7	9	ortholog_one2one	1
ENSGALG00000034907		27	6226468	6229290	HOXB5	ENSCJPG00005019369	HOXB5	27	ortholog_one2one	1
ENSGALG00000042503		KZ626836.1	77531	79994		ENSCJPG00005004971	HSPBP1	KQ966720.1	ortholog_one2one	1
ENSGALG00000007389		18	10130826	10137476	ANKRD40	ENSCJPG00005021444	ANKRD40	18	ortholog_one2one	1
ENSGALG00000006689		10	13427782	13462876	ABHD2	ENSCJPG00005020386	ABHD2	10	ortholog_one2one	1
ENSGALG00000026726		4	54276023	54276202		ENSCJPG00005003665		4	ortholog_one2one	1
ENSGALG00000032282		2	124313161	124331362	CALB1	ENSCJPG00005000373	CALB1	2	ortholog_one2one	1
ENSGALG00000019063		1	183766300	183772932	MMP10	ENSCJPG00005003593		1	ortholog_one2one	1
ENSGALG00000006467		20	10088809	10098528	XKR7	ENSCJPG00005005801	XKR7	20	ortholog_one2one	1
ENSGALG00000042741		5	161370	167878	GRK2	ENSCJPG00005013040	GRK2	5	ortholog_one2one	1
ENSGALG00000020569		Z	19481987	19488829	DIMT1	ENSCJPG00005001670	DIMT1	Z	ortholog_one2one	1
ENSGALG00000003899		7	4804962	4812496	RAB17	ENSCJPG00005014087	RAB17	7	ortholog_one2one	1
ENSGALG00000006479		20	10101688	10104791	CCM2L	ENSCJPG00005005796	CCM2L	20	ortholog_one2one	1
ENSGALG00000011967		4	54534509	54537977	MAD2L1	ENSCJPG00005003676	MAD2L1	4	ortholog_one2one	1
ENSGALG00000016385		3	93570218	93634842	TSSC1	ENSCJPG00005008562	EIPR1	3	ortholog_one2one	1
ENSGALG00000001084		28	2363866	2377068	ATP8B3	ENSCJPG00005010293	ATP8B3	28	ortholog_one2one	1
ENSGALG00000006037		12	10137401	10148820	MCM2	ENSCJPG00005013962	MCM2	12	ortholog_one2one	1
ENSGALG00000050027		1	134437290	134442623	NMS	ENSCJPG00005001260	NMS	1	ortholog_one2one	1
ENSGALG00000021952		27	6242486	6242565	gga-mir-10a	ENSCJPG00005019370	MIR10A	27	ortholog_one2one	1
ENSGALG00000042122		33	5705222	5725015	LARP4	ENSCJPG00005019749	LARP4	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000000284		27	6243545	6248818	HOXB4	ENSCJPG00005019371	HOXB4	27	ortholog_one2one	1
ENSGALG00000014740		Z	19489299	19563233	IPO11	ENSCJPG00005001681	IPO11	Z	ortholog_one2one	1
ENSGALG00000028081		28	2384398	2401470	ONECUT3	ENSCJPG00005010311	ONECUT3	28	ortholog_one2one	1
ENSGALG00000011622		3	45656630	45657619	MAS1	ENSCJPG00005005311	MAS1	3	ortholog_one2one	1
ENSGALG00000015152		1	84399987	84443291	BOC	ENSCJPG00005017449	BOC	1	ortholog_one2one	1
ENSGALG00000023689		17	6180976	6201571	ASS1	ENSCJPG00005000115	ASS1	17	ortholog_one2one	1
ENSGALG00000016771		1	134460007	134462166		ENSCJPG00005001267		1	ortholog_one2one	1
ENSGALG00000008096		6	24136936	24218063	SUFU	ENSCJPG00005019984	SUFU	6	ortholog_one2one	1
ENSGALG00000006375		9	4917495	4926717	TM4SF19	ENSCJPG00005001630		9	ortholog_one2one	1
ENSGALG00000006522		20	10105874	10112326	HCK	ENSCJPG00005005344	HCK	20	ortholog_one2one	1
ENSGALG00000036097		2	74190751	74441847	CDH18	ENSCJPG00005015532	CDH18	2	ortholog_one2one	1
ENSGALG00000011624		3	45677747	45688264	PNLDC1	ENSCJPG00005005315	PNLDC1	3	ortholog_one2one	1
ENSGALG00000040890		4	13800702	13801013	KCNE5	ENSCJPG00005017220	KCNE5	4	ortholog_one2one	1
ENSGALG00000007522		18	10138422	10181595		ENSCJPG00005021451		18	ortholog_one2one	1
ENSGALG00000016772		1	134464050	134469956	PDCL3	ENSCJPG00005001272	PDCL3	1	ortholog_one2one	1
ENSGALG00000008092		4	13806407	13813922	NXT2	ENSCJPG00005017221	NXT2	4	ortholog_one2one	1
ENSGALG00000026766		2	74833723	74833903		ENSCJPG00005015529		2	ortholog_one2one	1
ENSGALG00000009107		3	7172818	7823576	NRXN1	ENSCJPG00005001038	NRXN1	3	ortholog_one2one	1
ENSGALG00000011974		4	54538589	54542357	RPL7L1	ENSCJPG00005003680	RPL7L1	4	ortholog_one2one	1
ENSGALG00000012952		2	75358894	75406459	BASP1	ENSCJPG00005015520	BASP1	2	ortholog_one2one	1
ENSGALG00000003420		23	5358716	5363244	ZBTB8A	ENSCJPG00005001005	ZBTB8A	23	ortholog_one2one	1
ENSGALG00000026297		1	183777824	183787626		ENSCJPG00005003595		1	ortholog_one2one	1
ENSGALG00000043219		27	6260733	6271956	HOXB3	ENSCJPG00005019372	HOXB3	27	ortholog_one2one	1
ENSGALG00000006702		10	13474537	13481834	MFGE8	ENSCJPG00005020387	MFGE8	10	ortholog_one2one	1
ENSGALG00000032974		13	14367414	14532703	ADAMTS2	ENSCJPG00005005259	ADAMTS2	13	ortholog_one2one	1
ENSGALG00000008107		4	13876602	13898001	IRS4	ENSCJPG00005017222	IRS4	4	ortholog_one2one	1
ENSGALG00000001093		28	2462717	2516908	TCF3	ENSCJPG00005010314	TCF3	28	ortholog_one2one	1
ENSGALG00000008733		8	16810670	16822126	LPAR3	ENSCJPG00005008331	LPAR3	8	ortholog_one2one	1
ENSGALG00000042071		19	7086471	7135399	VPS53	ENSCJPG00005016499	VPS53	19	ortholog_one2one	1
ENSGALG00000011625		3	45688651	45691597	MRPL18	ENSCJPG00005005329	MRPL18	3	ortholog_one2one	1
ENSGALG00000036785		6	24231051	24250341	TRIM8	ENSCJPG00005019986	TRIM8	6	ortholog_one2one	1
ENSGALG00000019061		1	183793774	183800290	MMP1	ENSCJPG00005003596	MMP1	1	ortholog_one2one	1
ENSGALG00000007623		18	10190070	10295277	CACNA1G	ENSCJPG00005021465	CACNA1G	18	ortholog_one2one	1
ENSGALG00000025774		27	6277279	6280220	HOXB2	ENSCJPG00005019373	HOXB2	27	ortholog_one2one	1
ENSGALG00000008763		8	16844808	16864555	SSX2IP	ENSCJPG00005008332	SSX2IP	8	ortholog_one2one	1
ENSGALG00000042599		2	124514641	124525878	TMEM64	ENSCJPG00005000382	TMEM64	2	ortholog_one2one	1
ENSGALG00000014742		Z	19994081	19995570	HTR1A	ENSCJPG00005001694	HTR1A	Z	ortholog_one2one	1
ENSGALG00000042297		5	168034	176919	ANKRD13D	ENSCJPG00005013126	ANKRD13D	5	ortholog_one2one	1
ENSGALG00000002239		14	15224075	15238698	REXO5	ENSCJPG00005018774	REXO5	14	ortholog_one2one	1
ENSGALG00000038896		23	5366529	5372344		ENSCJPG00005001012		23	ortholog_one2one	1
ENSGALG00000016774		1	134540472	134668511	NPAS2	ENSCJPG00005001288	NPAS2	1	ortholog_one2one	1
ENSGALG00000034742		33	5732899	5757902	LIMA1	ENSCJPG00005019779	LIMA1	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000029509		2	124557381	124612440	NECAB1	ENSCJPG00005000385	NECAB1	2	ortholog_one2one	1
ENSGALG00000006361		9	4921468	4924316	NEU4	ENSCJPG00005001638	NEU4	9	ortholog_one2one	1
ENSGALG00000006047		12	10150244	10166115	TPRA1	ENSCJPG00005013963	TPRA1	12	ortholog_one2one	1
ENSGALG00000006568		20	10113124	10127346	TM9SF4	ENSCJPG00005005334	TM9SF4	20	ortholog_one2one	1
ENSGALG00000040716		7	4813216	4814151	PRLH	ENSCJPG00005014089	PRLH	7	ortholog_one2one	1
ENSGALG00000011637		3	45691777	45699620	TCP1	ENSCJPG00005005332	TCP1	3	ortholog_one2one	1
ENSGALG00000006586		20	10136327	10140317	PLAGL2	ENSCJPG00005005331	PLAGL2	20	ortholog_one2one	1
ENSGALG00000027305		27	6335894	6459922	SKAP1	ENSCJPG00005019375	SKAP1	27	ortholog_one2one	1
ENSGALG00000014743		Z	20052493	20125241	RNF180	ENSCJPG00005001700	RNF180	Z	ortholog_one2one	1
ENSGALG00000006354		9	4924759	4930056	GAL3ST2	ENSCJPG00005001643	GAL3ST2	9	ortholog_one2one	1
ENSGALG00000019060		1	183804597	183812551	MMP27	ENSCJPG00005003727	MMP27	1	ortholog_one2one	1
ENSGALG00000034316		13	14554411	14581358	CNOT6	ENSCJPG00005005257	CNOT6	13	ortholog_one2one	1
ENSGALG00000008049		6	24257821	24283161	ARL3	ENSCJPG00005019987	ARL3	6	ortholog_one2one	1
ENSGALG00000021135		10	13483840	13488077	HAPLN3	ENSCJPG00005020388	HAPLN3	10	ortholog_one2one	1
ENSGALG00000006594		20	10142922	10147715	POFUT1	ENSCJPG00005005321	POFUT1	20	ortholog_one2one	1
ENSGALG00000017553		27	6462486	6468426	SNX11	ENSCJPG00005019376	SNX11	27	ortholog_one2one	1
ENSGALG00000027389		Z	20155082	20189943	RGS7BP	ENSCJPG00005001710	RGS7BP	Z	ortholog_one2one	1
ENSGALG00000011982		4	54643508	54703347	PDE5A	ENSCJPG00005003687	PDE5A	4	ortholog_one2one	1
ENSGALG00000012537		7	35735910	35765494	KCNJ3	ENSCJPG00005020503	KCNJ3	7	ortholog_one2one	1
ENSGALG00000039535		9	4934110	4943942	D2HGDH	ENSCJPG00005001651	D2HGDH	9	ortholog_one2one	1
ENSGALG00000016387		3	93634555	93681884	TRAPPC12	ENSCJPG00005008564	TRAPPC12	3	ortholog_one2one	1
ENSGALG00000006317		9	4943378	4951651	ING5	ENSCJPG00005001656	ING5	9	ortholog_one2one	1
ENSGALG00000003904		7	4815805	4833602	MLPH	ENSCJPG00005014101	MLPH	7	ortholog_one2one	1
ENSGALG00000017853		3	45692505	45692641		ENSCJPG00005005337		3	ortholog_one2one	1
ENSGALG00000015182		1	84518158	84523562	NEPRO	ENSCJPG00005017461		1	ortholog_one2one	1
ENSGALG00000008282		4	14102211	14114315	ATG4A	ENSCJPG00005017226	ATG4A	4	ortholog_one2one	1
ENSGALG00000033926		27	6468627	6476586	CBX1	ENSCJPG00005019377	CBX1	27	ortholog_one2one	1
ENSGALG00000026028		Z	20202335	20211616	SREK1IP1	ENSCJPG00005001713	SREK1IP1	Z	ortholog_one2one	1
ENSGALG00000008114		6	24283253	24287389	SFXN2	ENSCJPG00005019988	SFXN2	6	ortholog_one2one	1
ENSGALG00000023279		18	10313614	10319264	EPN3	ENSCJPG00005021525	EPN3	18	ortholog_one2one	1
ENSGALG00000041522		5	189639	197959	CLCF1	ENSCJPG00005013130	CLCF1	5	ortholog_one2one	1
ENSGALG00000015185		1	84523342	84526837	TAF13	ENSCJPG00005017462	TAF13	1	ortholog_one2one	1
ENSGALG00000011659		3	45699532	45707626	ACAT2	ENSCJPG00005005340	ACAT2	3	ortholog_one2one	1
ENSGALG00000012538		7	36032926	36038300	NR4A2	ENSCJPG00005020500	NR4A2	7	ortholog_one2one	1
ENSGALG00000039705		13	14628119	14644387	GFPT2	ENSCJPG00005005253	GFPT2	13	ortholog_one2one	1
ENSGALG00000043373		15	1353112	1541582	ARVCF	ENSCJPG00005019105	ARVCF	15	ortholog_one2one	1
ENSGALG00000042679		2	75668730	75718107	RETREG1	ENSCJPG00005015518	RETREG1	2	ortholog_one2one	1
ENSGALG00000015190		1	84528015	84532502	GTPBP8	ENSCJPG00005017463	GTPBP8	1	ortholog_one2one	1
ENSGALG00000006725		10	13489102	13532280	ACAN	ENSCJPG00005020389	ACAN	10	ortholog_one2one	1
ENSGALG00000004900		19	7138271	7140397	RFLNB	ENSCJPG00005017233	RFLNB	19	ortholog_one2one	1
ENSGALG00000007661		18	10324832	10337709	MYCBPAP	ENSCJPG00005021526	MYCBPAP	18	ortholog_one2one	1
ENSGALG00000008247		5	23437881	23447259	ARFGAP2	ENSCJPG00005012077	ARFGAP2	5	ortholog_one2one	1
ENSGALG00000011937		27	6479452	6490273	NFE2L1	ENSCJPG00005019378	NFE2L1	27	ortholog_one2one	1
ENSGALG00000039734		33	5759528	5777842	CERS5	ENSCJPG00005019780	CERS5	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000025796		3	93689037	93695541	ADI1	ENSCJPG00005008568	ADI1	3	ortholog_one2one	1
ENSGALG00000037314		19	7143830	7169704		ENSCJPG00005017236		19	ortholog_one2one	1
ENSGALG00000006056		12	10166704	10269571		ENSCJPG00005013964		12	ortholog_one2one	1
ENSGALG00000001863		8	16869042	16889747	VTG2	ENSCJPG00005008333		8	ortholog_one2one	1
ENSGALG00000012543		7	36056082	36108269	GPD2	ENSCJPG00005020499	GPD2	7	ortholog_one2one	1
ENSGALG00000002267		14	15245851	15263173	DCUN1D3	ENSCJPG00005018775	DCUN1D3	14	ortholog_one2one	1
ENSGALG00000017184		1	183873073	183877709	MMP7	ENSCJPG00005003728		1	ortholog_one2one	1
ENSGALG00000019768		18	10339902	10375108	ACSF2	ENSCJPG00005021527	ACSF2	18	ortholog_one2one	1
ENSGALG00000016389		3	93697530	93703548	RNASEH1	ENSCJPG00005008569		3	ortholog_one2one	1
ENSGALG00000009100		3	8032161	8144176	FSHR	ENSCJPG00005001206	FSHR	3	ortholog_one2one	1
ENSGALG00000003941		17	6210644	6246892	FUBP3	ENSCJPG00005000185	FUBP3	17	ortholog_one2one	1
ENSGALG00000027240		2	28543421	28560768	TSPAN13	ENSCJPG00005011875	TSPAN13	2	ortholog_one2one	1
ENSGALG00000006305		9	4951779	4957263	DTYMK	ENSCJPG00005001666	DTYMK	9	ortholog_one2one	1
ENSGALG00000017185		1	183903226	183920317	TMEM123	ENSCJPG00005003755	TMEM123	1	ortholog_one2one	1
ENSGALG00000002273		14	15263057	15273745	LYRM1	ENSCJPG00005018776	LYRM1	14	ortholog_one2one	1
ENSGALG00000006604		20	10147922	10157222	KIF3B	ENSCJPG00005005319	KIF3B	20	ortholog_one2one	1
ENSGALG00000039099		13	14644938	14665124	MAPK9	ENSCJPG00005005246	MAPK9	13	ortholog_one2one	1
ENSGALG00000014751		Z	20369274	20519860	ADAMTS6	ENSCJPG00005010931	ADAMTS6	Z	ortholog_one2one	1
ENSGALG00000011660		3	45713103	45736034	WTAP	ENSCJPG00005005347	WTAP	3	ortholog_one2one	1
ENSGALG00000003522		23	5376041	5383122	RBBP4	ENSCJPG00005001037	RBBP4	23	ortholog_one2one	1
ENSGALG00000053245		8	16918916	16939811		ENSCJPG00005008334		8	ortholog_one2one	1
ENSGALG00000016776		1	134671345	134727061	TBC1D8	ENSCJPG00005001297	TBC1D8	1	ortholog_one2one	1
ENSGALG00000041010		6	24317980	24339647	WBP1L	ENSCJPG00005019989	WBP1L	6	ortholog_one2one	1
ENSGALG00000029247		33	5786099	5793178	SMARCD1	ENSCJPG00005019824	SMARCD1	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000019761		18	10351958	10359644		ENSCJPG00005021529		18	ortholog_one2one	1
ENSGALG00000025193		1	23274416	23274649	7SK	ENSCJPG00005008720	7SK	1	ortholog_one2one	1
ENSGALG00000037171		2	75720839	75727791	ZNF622	ENSCJPG00005015517	ZNF622	2	ortholog_one2one	1
ENSGALG00000044204		10	13568712	13577891	ISG20	ENSCJPG00005020390	ISG20	10	ortholog_one2one	1
ENSGALG00000016392		3	93709143	93717206	RPS7	ENSCJPG00005008570	RPS7	3	ortholog_one2one	1
ENSGALG00000043435		5	205918	211190	CARNS1	ENSCJPG00005013133		5	ortholog_one2one	1
ENSGALG00000034025		33	5798329	5813145	ASIC1	ENSCJPG00005019958	ASIC1	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000006298		9	4958640	4978293	ATG4B	ENSCJPG00005001671	ATG4B	9	ortholog_one2one	1
ENSGALG00000008121		6	24341471	24343997	CYP17A1	ENSCJPG00005019990	CYP17A1	6	ortholog_one2one	1
ENSGALG00000008975		1	23349811	23381342	FAM3C	ENSCJPG00005008719	FAM3C	1	ortholog_one2one	1
ENSGALG00000016775		1	134671350	134676353	RPL31	ENSCJPG00005001293	RPL31	1	ortholog_one2one	1
ENSGALG00000007673		18	10377416	10381845	LRRC59	ENSCJPG00005021530	LRRC59	18	ortholog_one2one	1
ENSGALG00000006612		20	10158453	10173320	ASXL1	ENSCJPG00005005314	ASXL1	20	ortholog_one2one	1
ENSGALG00000008255		5	23440889	23529747	C11orf49	ENSCJPG00005012079	C11orf49	5	ortholog_one2one	1
ENSGALG00000036452		27	6492112	6496060	CDK5RAP3	ENSCJPG00005019379	CDK5RAP3	27	ortholog_one2one	1
ENSGALG00000008780		8	16940149	16946646	CTBS	ENSCJPG00005008336	CTBS	8	ortholog_one2one	1
ENSGALG00000010825		2	28562930	28566950	AGR2	ENSCJPG00005011874	AGR2	2	ortholog_one2one	1
ENSGALG00000006097		12	10299237	10383397	PLXNA1	ENSCJPG00005013965	PLXNA1	12	ortholog_one2one	1
ENSGALG00000008287		4	14114460	14117321	PSMD10	ENSCJPG00005017227	PSMD10	4	ortholog_one2one	1
ENSGALG00000018258		10	13575940	13576038	gga-mir-7-2	ENSCJPG00005020391		10	ortholog_one2one	1
ENSGALG00000050002		3	93724843	93761026	COLEC11	ENSCJPG00005008571	COLEC11	3	ortholog_one2one	1
ENSGALG00000046413		27	6496355	6496645	PRR15L	ENSCJPG00005019386	PRR15L	27	ortholog_one2one	1
ENSGALG00000006750		10	13591422	13601475		ENSCJPG00005020392		10	ortholog_one2one	1
ENSGALG00000041732		20	10179082	10225102	NOL4L	ENSCJPG00005005303	NOL4L	20	ortholog_one2one	1
ENSGALG00000029616		1	54651418	54674159	HCFC2	ENSCJPG00005018304	HCFC2	1	ortholog_one2one	1
ENSGALG00000041337		2	124677733	124686647	OTUD6A	ENSCJPG00005000403	OTUD6B	2	ortholog_one2one	1
ENSGALG00000017186		1	183926160	183936332	BIRC3	ENSCJPG00005003757		1	ortholog_one2one	1
ENSGALG00000006777		10	13612327	13615857	MRPS11	ENSCJPG00005020393	MRPS11	10	ortholog_one2one	1
ENSGALG00000019651		2	28590281	28597092	AGR3	ENSCJPG00005011876	AGR3	2	ortholog_one2one	1
ENSGALG00000004917		19	7178655	7196511	DOC2B	ENSCJPG00005017237	DOC2B	19	ortholog_one2one	1
ENSGALG00000011663		3	45891575	45929214	FNDC1	ENSCJPG00005005370	FNDC1	3	ortholog_one2one	1
ENSGALG00000014756		Z	20570577	20585195	PPWD1	ENSCJPG00005010929	PPWD1	Z	ortholog_one2one	1
ENSGALG00000000233		27	6502621	6508099	SP2	ENSCJPG00005019387	SP2	27	ortholog_one2one	1
ENSGALG00000008290		4	14121934	14142349	VSIG1	ENSCJPG00005017228	VSIG1	4	ortholog_one2one	1
ENSGALG00000039563		1	134748547	134759240	CNOT11	ENSCJPG00005001306	CNOT11	1	ortholog_one2one	1
ENSGALG00000047863		27	6519522	6520595	SP6	ENSCJPG00005019388	SP6	27	ortholog_one2one	1
ENSGALG00000032181		5	23544732	23622789	LRP4	ENSCJPG00005012083	LRP4	5	ortholog_one2one	1
ENSGALG00000003529		23	5383539	5388690	SYNC	ENSCJPG00005001386	SYNC	23	ortholog_one2one	1
ENSGALG00000004924		19	7197445	7200240	OPNP	ENSCJPG00005017239		19	ortholog_one2one	1
ENSGALG00000030824		3	45974680	45975584	SF3B5	ENSCJPG00005005441	SF3B5	3	ortholog_one2one	1
ENSGALG00000025284		1	134763909	134764022	SNORD89	ENSCJPG00005001312	SNORD89	1	ortholog_one2one	1
